Time,electricity_demand_values,heat_demand_values,air_pressure,air_temperature,relative_humidity,wind_speed,solar_irridiation_positive,total_cloud_cover_percent,wind_speed_range,air_temperature_range
2017-04-24,5534.89344605213,4252.121023845,737.2583333333333,12.054166666666667,53.25,2.2083333333333335,246.20833333333334,5.208333333333333,7.0,26.200000000000003
2017-04-25,5351.90298877417,3428.88705651605,733.1958333333333,18.925,71.29166666666667,6.25,235.91666666666666,23.958333333333332,7.0,28.900000000000002
2017-04-26,5543.559266783051,1826.01824870576,730.5375,18.912499999999998,49.083333333333336,4.416666666666667,246.29166666666666,9.375,8.0,18.9
2017-04-27,5825.855184020965,2301.4028485530353,734.8291666666668,20.666666666666668,68.125,4.625,252.70833333333334,38.75,9.0,17.2
2017-04-28,5632.40198481149,1427.240722301,737.5291666666667,14.395833333333334,60.958333333333336,4.125,268.5,55.833333333333336,8.0,20.0
2017-04-29,11037.42308511193,72.99969491686,733.1083333333332,21.245833333333334,73.0,4.333333333333333,251.79166666666666,53.125,11.0,17.800000000000004
2017-04-30,11105.68601235322,0.0,734.3874999999999,25.741666666666664,45.75,4.541666666666667,227.58333333333334,20.833333333333332,9.0,17.799999999999997
2017-05-01,5704.375797588225,2348.31376572919,736.8958333333334,18.870833333333334,75.91666666666667,3.2083333333333335,248.04166666666666,57.291666666666664,7.0,13.9
2017-05-02,5573.128074452549,2335.71521885942,735.8625000000001,24.099999999999998,46.541666666666664,5.0,277.0,19.791666666666668,19.0,21.599999999999998
2017-05-03,5570.704963947418,2871.114089336,731.475,31.3,46.416666666666664,4.416666666666667,213.66666666666666,26.041666666666668,8.0,17.2
2017-05-04,6616.3399371252,3279.15773670925,733.2291666666666,27.3,50.541666666666664,3.4583333333333335,266.25,32.916666666666664,6.0,17.800000000000004
2017-05-05,8314.52785696634,1963.0979694461919,733.3083333333334,25.599999999999998,64.5,4.458333333333333,267.625,52.083333333333336,7.0,16.099999999999998
2017-05-06,10818.759009714442,67.1949166157,732.6625,25.829166666666666,68.20833333333333,3.625,261.125,42.708333333333336,7.0,18.900000000000002
2017-05-07,12852.727314341166,117.66313099924551,732.8916666666665,30.691666666666666,34.791666666666664,3.5416666666666665,235.54166666666666,14.583333333333334,7.0,20.6
2017-05-08,13620.763838009485,9.64953242525,732.4291666666667,33.65416666666667,36.75,4.0,241.83333333333334,23.541666666666668,7.0,23.300000000000004
2017-05-09,11404.99388928772,0.0,732.9208333333332,34.041666666666664,34.375,3.9583333333333335,227.625,16.666666666666668,7.0,17.799999999999997
